car_id,car_make,car_model,car_model_year, monthly total costs , yearly total costs , Total revenue ,Total profit,,,,,,,car_id, loss_profit 
8547510613,Mercedes-Benz,CL-Class,2018, $602.58 ," $7,230.96 "," $17,568.00 "," $10,337.04 ",,,,,,,-, none 
7957998003,Cadillac,XLR,2017, $699.19 ," $8,390.28 "," $17,323.00 "," $8,932.72 ",,,,,,,-, none 
4421017736,Toyota,Corolla,2018, $590.80 ," $7,089.60 "," $12,727.00 "," $5,637.40 ",,,,,,,-, none 
4033257977,Ford,E-Series,2018, $727.15 ," $8,725.80 "," $11,380.00 "," $2,654.20 ",,,,,,,-, none 
7974122404,BMW,M5,2018, $480.24 ," $5,762.88 "," $12,446.00 "," $6,683.12 ",,,,,,,-, none 
176708014,Ford,Crown Victoria,2016, $642.12 ," $7,705.44 "," $14,856.00 "," $7,150.56 ",,,,,,,-, none 
4559727007,Cadillac,STS-V,2017, $566.40 ," $6,796.80 "," $11,921.00 "," $5,124.20 ",,,,,,,-, none 
888754345,Mercedes-Benz,SLK-Class,2017, $799.92 ," $9,599.04 "," $12,139.00 "," $2,539.96 ",,,,,,,-, none 
4321315506,Honda,Accord,2018, $762.25 ," $9,147.00 "," $13,238.00 "," $4,091.00 ",,,,,,,-, none 
1339291169,Chrysler,Aspen,2017, $676.37 ," $8,116.44 "," $17,211.00 "," $9,094.56 ",,,,,,,-, none 
9818225503,Subaru,Outback,2018, $581.73 ," $6,980.76 "," $13,132.00 "," $6,151.24 ",,,,,,,-, none 
3760474837,Ford,Bronco,2016, $632.10 ," $7,585.20 "," $13,393.00 "," $5,807.80 ",,,,,,,-, none 
7420507449,Oldsmobile,Bravada,2018, $831.45 ," $9,977.40 "," $10,838.00 ", $860.60 ,,,,,,,-, none 
4168162915,Dodge,D350 Club,2017, $590.49 ," $7,085.88 "," $11,232.00 "," $4,146.12 ",,,,,,,-, none 
9882250777,Toyota,Sequoia,2017, $865.32 ," $10,383.84 "," $10,624.00 ", $240.16 ,,,,,,,-, none 
4630862897,Suzuki,Vitara,2016, $789.83 ," $9,477.96 "," $11,326.00 "," $1,848.04 ",,,,,,,-, none 
3850693872,Ford,Fiesta,2017, $659.36 ," $7,912.32 "," $12,350.00 "," $4,437.68 ",,,,,,,-, none 
3043592697,Hyundai,Elantra,2017, $610.29 ," $7,323.48 "," $11,919.00 "," $4,595.52 ",,,,,,,-, none 
9091011890,Lincoln,Mark LT,2017, $778.38 ," $9,340.56 "," $11,393.00 "," $2,052.44 ",,,,,,,-, none 
7244380720,Chevrolet,Silverado,2016, $651.28 ," $7,815.36 "," $17,495.00 "," $9,679.64 ",,,,,,,-, none 
9430205528,Cadillac,Escalade,2017, $763.88 ," $9,166.56 "," $15,632.00 "," $6,465.44 ",,,,,,,-, none 
769722318,BMW,8 Series,2017, $723.50 ," $8,682.00 "," $13,461.00 "," $4,779.00 ",,,,,,,-, none 
3150630517,Plymouth,Voyager,2016, $780.87 ," $9,370.44 "," $13,687.00 "," $4,316.56 ",,,,,,,-, none 
115453741,Acura,RDX,2016, $752.54 ," $9,030.48 "," $11,765.00 "," $2,734.52 ",,,,,,,-, none 
7158100529,Mitsubishi,Expo,2018, $694.43 ," $8,333.16 "," $14,500.00 "," $6,166.84 ",,,,,,,-, none 
6182332484,Mazda,B-Series,2016, $877.18 ," $10,526.16 "," $14,449.00 "," $3,922.84 ",,,,,,,-, none 
4787629328,Lamborghini,Countach,2016, $586.92 ," $7,043.04 "," $13,690.00 "," $6,646.96 ",,,,,,,-, none 
2547248123,Saturn,Astra,2017, $625.22 ," $7,502.64 "," $13,786.00 "," $6,283.36 ",,,,,,,-, none 
1662880308,Nissan,240SX,2017, $841.99 ," $10,103.88 "," $10,496.00 ", $392.12 ,,,,,,,-, none 
1989183093,GMC,Sierra 1500,2018, $613.63 ," $7,363.56 "," $12,714.00 "," $5,350.44 ",,,,,,,-, none 
7626899288,Dodge,Intrepid,2018, $635.52 ," $7,626.24 "," $13,319.00 "," $5,692.76 ",,,,,,,-, none 
2193521727,Cadillac,Escalade,2018, $823.04 ," $9,876.48 "," $14,635.00 "," $4,758.52 ",,,,,,,-, none 
4375179392,Subaru,Impreza,2016, $507.94 ," $6,095.28 "," $10,690.00 "," $4,594.72 ",,,,,,,-, none 
8768576293,Chevrolet,Corvette,2017, $749.52 ," $8,994.24 "," $14,393.00 "," $5,398.76 ",,,,,,,-, none 
8047046756,Dodge,Caravan,2017, $528.42 ," $6,341.04 "," $10,203.00 "," $3,861.96 ",,,,,,,-, none 
5798718247,Buick,Skyhawk,2016, $777.13 ," $9,325.56 "," $10,753.00 "," $1,427.44 ",,,,,,,-, none 
6680867908,Chrysler,Concorde,2017, $708.42 ," $8,501.04 "," $9,465.00 ", $963.96 ,,,,,,,-, none 
8563318772,Lotus,Exige,2018, $631.05 ," $7,572.60 "," $13,786.00 "," $6,213.40 ",,,,,,,-, none 
7115509980,Mitsubishi,Challenger,2018, $818.65 ," $9,823.80 "," $17,928.00 "," $8,104.20 ",,,,,,,-, none 
2479699455,Saturn,S-Series,2017, $683.45 ," $8,201.40 "," $11,501.00 "," $3,299.60 ",,,,,,,-, none 
2288701439,Volkswagen,Jetta,2016, $509.95 ," $6,119.40 "," $13,453.00 "," $7,333.60 ",,,,,,,-, none 
7074538167,Audi,RS 6,2016, $619.64 ," $7,435.68 "," $15,793.00 "," $8,357.32 ",,,,,,,-, none 
9959913104,Isuzu,VehiCROSS,2016, $720.97 ," $8,651.64 "," $9,296.00 ", $644.36 ,,,,,,,-, none 
1852034203,Porsche,928,2018, $603.06 ," $7,236.72 "," $11,681.00 "," $4,444.28 ",,,,,,,-, none 
9042596678,Chevrolet,SSR,2016, $813.35 ," $9,760.20 "," $12,631.00 "," $2,870.80 ",,,,,,,-, none 
7383570154,Chrysler,300,2017, $620.82 ," $7,449.84 "," $14,318.00 "," $6,868.16 ",,,,,,,-, none 
9696800096,Plymouth,Grand Voyager,2017, $787.02 ," $9,444.24 "," $14,923.00 "," $5,478.76 ",,,,,,,-, none 
7849840658,Chevrolet,3500,2016, $508.97 ," $6,107.64 "," $16,548.00 "," $10,440.36 ",,,,,,,-, none 
2121210458,Chevrolet,S10,2016, $589.75 ," $7,077.00 "," $16,123.00 "," $9,046.00 ",,,,,,,-, none 
9537515273,Volkswagen,Tiguan,2018, $603.61 ," $7,243.32 "," $16,794.00 "," $9,550.68 ",,,,,,,-, none 
2836851902,Pontiac,Trans Sport,2018, $607.52 ," $7,290.24 "," $14,555.00 "," $7,264.76 ",,,,,,,-, none 
3100586611,Mercury,Cougar,2017, $756.42 ," $9,077.04 "," $14,255.00 "," $5,177.96 ",,,,,,,-, none 
8952073622,Ford,Econoline E150,2016, $787.61 ," $9,451.32 "," $13,579.00 "," $4,127.68 ",,,,,,,-, none 
8065900739,Honda,Element,2017, $756.83 ," $9,081.96 "," $13,307.00 "," $4,225.04 ",,,,,,,-, none 
1966746210,Lincoln,Aviator,2018, $601.41 ," $7,216.92 "," $13,113.00 "," $5,896.08 ",,,,,,,-, none 
5762949982,Chrysler,Crossfire Roadster,2017, $563.90 ," $6,766.80 "," $15,262.00 "," $8,495.20 ",,,,,,,-, none 
534644902,Dodge,Spirit,2018, $564.41 ," $6,772.92 "," $15,660.00 "," $8,887.08 ",,,,,,,-, none 
5531243480,Lexus,GX,2016, $649.29 ," $7,791.48 "," $9,498.00 "," $1,706.52 ",,,,,,,-, none 
9193506910,Buick,Regal,2017, $823.28 ," $9,879.36 "," $16,265.00 "," $6,385.64 ",,,,,,,-, none 
2834573840,Lamborghini,Gallardo,2018, $527.54 ," $6,330.48 "," $17,419.00 "," $11,088.52 ",,,,,,,-, none 
541371509,Porsche,911,2017, $853.11 ," $10,237.32 "," $18,917.00 "," $8,679.68 ",,,,,,,-, none 
8395707452,GMC,Yukon,2017, $791.07 ," $9,492.84 "," $11,541.00 "," $2,048.16 ",,,,,,,-, none 
7581084884,Volkswagen,Eurovan,2016, $659.15 ," $7,909.80 "," $17,315.00 "," $9,405.20 ",,,,,,,-, none 
548671389,Honda,Civic,2016, $558.50 ," $6,702.00 "," $11,609.00 "," $4,907.00 ",,,,,,,-, none 
7649630471,Plymouth,Neon,2017, $569.76 ," $6,837.12 "," $12,647.00 "," $5,809.88 ",,,,,,,-, none 
5886225463,Chevrolet,Silverado,2018, $775.15 ," $9,301.80 "," $10,556.00 "," $1,254.20 ",,,,,,,-, none 
6469135420,Toyota,Tacoma Xtra,2016, $751.45 ," $9,017.40 "," $17,318.00 "," $8,300.60 ",,,,,,,-, none 
7800595870,Mitsubishi,Diamante,2017, $590.89 ," $7,090.68 "," $12,706.00 "," $5,615.32 ",,,,,,,-, none 
732627257,Oldsmobile,88,2018, $557.30 ," $6,687.60 "," $12,225.00 "," $5,537.40 ",,,,,,,-, none 
4567386353,Kia,Soul,2016, $717.35 ," $8,608.20 "," $13,157.00 "," $4,548.80 ",,,,,,,-, none 
873745175,Isuzu,Oasis,2017, $498.68 ," $5,984.16 "," $12,420.00 "," $6,435.84 ",,,,,,,-, none 
7365100672,Mercedes-Benz,E-Class,2017, $738.62 ," $8,863.44 "," $14,450.00 "," $5,586.56 ",,,,,,,-, none 
8842525146,Lexus,GX,2018, $666.42 ," $7,997.04 "," $13,180.00 "," $5,182.96 ",,,,,,,-, none 
8055415439,Lincoln,Continental,2017, $550.18 ," $6,602.16 "," $14,617.00 "," $8,014.84 ",,,,,,,-, none 
3269248989,Ram,1500,2018, $549.37 ," $6,592.44 "," $12,140.00 "," $5,547.56 ",,,,,,,-, none 
1340912864,Alfa Romeo,Spider,2017, $700.16 ," $8,401.92 "," $15,888.00 "," $7,486.08 ",,,,,,,-, none 
1334279977,Panoz,Esperante,2018, $731.94 ," $8,783.28 "," $15,713.00 "," $6,929.72 ",,,,,,,-, none 
5935030969,Nissan,370Z,2017, $658.08 ," $7,896.96 "," $11,189.00 "," $3,292.04 ",,,,,,,-, none 
7591310135,Honda,Civic,2016, $803.03 ," $9,636.36 "," $14,771.00 "," $5,134.64 ",,,,,,,-, none 
2677246147,Mazda,CX-9,2018, $719.30 ," $8,631.60 "," $13,072.00 "," $4,440.40 ",,,,,,,-, none 
4990691458,Ford,Excursion,2018, $735.33 ," $8,823.96 "," $15,269.00 "," $6,445.04 ",,,,,,,-, none 
9891763366,Volkswagen,Golf,2018, $787.82 ," $9,453.84 "," $13,193.00 "," $3,739.16 ",,,,,,,-, none 
7566491709,Ford,Crown Victoria,2017, $561.96 ," $6,743.52 "," $11,033.00 "," $4,289.48 ",,,,,,,-, none 
2523420198,Volvo,S80,2017, $652.94 ," $7,835.28 "," $13,942.00 "," $6,106.72 ",,,,,,,-, none 
2991880058,Hyundai,Accent,2018, $638.75 ," $7,665.00 "," $14,029.00 "," $6,364.00 ",,,,,,,-, none 
6696735615,BMW,X6,2016, $821.79 ," $9,861.48 "," $9,066.00 ", $(795.48),,,,,,,6696735615, $(795.48)
5769487151,Mercedes-Benz,CL-Class,2018, $724.70 ," $8,696.40 "," $16,784.00 "," $8,087.60 ",,,,,,,-, none 
1033673978,Ford,Focus,2016, $823.79 ," $9,885.48 "," $16,159.00 "," $6,273.52 ",,,,,,,-, none 
2228148814,Ram,2500,2017, $562.28 ," $6,747.36 "," $11,893.00 "," $5,145.64 ",,,,,,,-, none 
660058863,Ford,E150,2016, $578.77 ," $6,945.24 "," $13,420.00 "," $6,474.76 ",,,,,,,-, none 
6957747921,Kia,Borrego,2018, $576.98 ," $6,923.76 "," $10,402.00 "," $3,478.24 ",,,,,,,-, none 
260542938,Ford,Windstar,2018, $758.22 ," $9,098.64 "," $13,817.00 "," $4,718.36 ",,,,,,,-, none 
913238279,Ford,Excursion,2018, $592.53 ," $7,110.36 "," $8,923.00 "," $1,812.64 ",,,,,,,-, none 
3781200272,Pontiac,Bonneville,2018, $857.09 ," $10,285.08 "," $14,878.00 "," $4,592.92 ",,,,,,,-, none 
2476223417,Mazda,Mazda2,2016, $659.39 ," $7,912.68 "," $10,024.00 "," $2,111.32 ",,,,,,,-, none 
3208659997,Ford,Thunderbird,2016, $652.20 ," $7,826.40 "," $16,047.00 "," $8,220.60 ",,,,,,,-, none 
1785772317,Chevrolet,SSR,2018, $824.82 ," $9,897.84 "," $14,686.00 "," $4,788.16 ",,,,,,,-, none 
7487283933,Ford,Econoline E250,2016, $725.92 ," $8,711.04 "," $11,164.00 "," $2,452.96 ",,,,,,,-, none 
9200676634,GMC,Sierra 2500,2016, $576.04 ," $6,912.48 "," $19,540.00 "," $12,627.52 ",,,,,,,-, none 
6556638625,Ford,E150,2018, $606.48 ," $7,277.76 "," $17,816.00 "," $10,538.24 ",,,,,,,-, none 
1582501823,Mitsubishi,Expo LRV,2016, $686.90 ," $8,242.80 "," $12,129.00 "," $3,886.20 ",,,,,,,-, none 
6194835575,Cadillac,Escalade ESV,2018, $760.95 ," $9,131.40 "," $7,658.00 "," $(1,473.40)",,,,,,,6194835575," $(1,473.40)"
5448435297,Ford,Expedition,2018, $764.90 ," $9,178.80 "," $8,924.00 ", $(254.80),,,,,,,5448435297, $(254.80)
4263649400,Pontiac,Grand Prix,2016, $696.46 ," $8,357.52 "," $19,078.00 "," $10,720.48 ",,,,,,,-, none 
849175895,GMC,Acadia,2016, $760.03 ," $9,120.36 "," $11,286.00 "," $2,165.64 ",,,,,,,-, none 
3684048518,Lincoln,Mark LT,2018, $624.43 ," $7,493.16 "," $7,151.00 ", $(342.16),,,,,,,3684048518, $(342.16)
6650388971,Pontiac,Bonneville,2018, $617.18 ," $7,406.16 "," $16,827.00 "," $9,420.84 ",,,,,,,-, none 
2639375512,Dodge,Charger,2017, $659.33 ," $7,911.96 "," $6,657.00 "," $(1,254.96)",,,,,,,2639375512," $(1,254.96)"
688385567,Jensen,Interceptor,2017, $722.86 ," $8,674.32 "," $10,037.00 "," $1,362.68 ",,,,,,,-, none 
5877770241,Plymouth,Breeze,2017, $730.05 ," $8,760.60 "," $16,778.00 "," $8,017.40 ",,,,,,,-, none 
6981511959,Dodge,Ram 3500 Club,2017, $534.55 ," $6,414.60 "," $11,168.00 "," $4,753.40 ",,,,,,,-, none 
9900065212,Dodge,Caravan,2017, $775.09 ," $9,301.08 "," $11,835.00 "," $2,533.92 ",,,,,,,-, none 
3154427147,Oldsmobile,Alero,2018, $575.86 ," $6,910.32 "," $12,241.00 "," $5,330.68 ",,,,,,,-, none 
6944991659,Mitsubishi,Montero,2016, $559.31 ," $6,711.72 "," $8,365.00 "," $1,653.28 ",,,,,,,-, none 
8220316772,Hyundai,Elantra,2018, $671.60 ," $8,059.20 "," $11,477.00 "," $3,417.80 ",,,,,,,-, none 
1196473021,Mitsubishi,Galant,2018, $616.48 ," $7,397.76 "," $10,347.00 "," $2,949.24 ",,,,,,,-, none 
5653698407,Mitsubishi,Outlander,2017, $745.70 ," $8,948.40 "," $9,297.00 ", $348.60 ,,,,,,,-, none 
2976964394,Toyota,Matrix,2018, $634.25 ," $7,611.00 "," $13,934.00 "," $6,323.00 ",,,,,,,-, none 
6450569549,Volkswagen,Touareg,2018, $586.23 ," $7,034.76 "," $12,784.00 "," $5,749.24 ",,,,,,,-, none 
1218538651,GMC,Vandura 2500,2016, $566.58 ," $6,798.96 "," $14,069.00 "," $7,270.04 ",,,,,,,-, none 
2701113237,Oldsmobile,Silhouette,2016, $607.41 ," $7,288.92 "," $7,253.00 ", $(35.92),,,,,,,2701113237, $(35.92)
3398434487,Hyundai,Sonata,2018, $833.36 ," $10,000.32 "," $12,708.00 "," $2,707.68 ",,,,,,,-, none 
640670652,Audi,TT,2018, $721.21 ," $8,654.52 "," $13,508.00 "," $4,853.48 ",,,,,,,-, none 
2176775740,Chevrolet,Corvette,2017, $835.34 ," $10,024.08 "," $12,234.00 "," $2,209.92 ",,,,,,,-, none 
2707997641,Daewoo,Lanos,2016, $530.39 ," $6,364.68 "," $15,336.00 "," $8,971.32 ",,,,,,,-, none 
6785946042,Volkswagen,Scirocco,2016, $770.64 ," $9,247.68 "," $11,948.00 "," $2,700.32 ",,,,,,,-, none 
967706416,Mercedes-Benz,G-Class,2016, $678.90 ," $8,146.80 "," $14,449.00 "," $6,302.20 ",,,,,,,-, none 
6337497724,Chevrolet,Aveo,2017, $669.89 ," $8,038.68 "," $10,674.00 "," $2,635.32 ",,,,,,,-, none 
6953537132,BMW,3 Series,2018, $587.58 ," $7,050.96 "," $14,739.00 "," $7,688.04 ",,,,,,,-, none 
